group,group_rationale,variable_key,label,skip_condition,explanation,scripts
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,BabyFirst,Baby's First Name,$AdmReason != 'DU' | $AdmReason != 'DUM',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Abandoned baby","Generic PHC Admission, Parirenyatwa Group of Hospitals Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,BabyHospNum,Baby's Hospital Number,$AdmReason != 'DU',Shown when admission reason is not Dumpsite (abandoned baby),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,BabyLast,Baby's Surname,$AdmReason != 'DU' | $AdmReason != 'DUM',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Abandoned baby","Generic PHC Admission, Parirenyatwa Group of Hospitals Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,BirthPlace,Place of birth,$AdmReason ! = 'DU',Shown when admission reason is not Dumpsite (abandoned baby),Sally Mugabe CH Discharge
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,BirthPlaceSame,Birth place same?,$InOrOut = true or ($InOrOut = false and $ReferredFrom2 = 'F') or ($InOrOut = false and $ReferredFrom2 = 'F' and $ReferredFrom = 'O') | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU' | $NeoTreeOutcome = 'BID' and ($InOrOut = true or ($InOrOut = false and $ReferredFrom2 = 'F') or ($InOrOut = false and $ReferredFrom2 = 'F' and $ReferredFrom = 'O')),"Shown when admitted from within facility: Yes or admitted from within facility: No, and referral source is Other Facility or admitted from within facility: No, and referral source is Other Facility, and referred from is Other
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)
Shown when patient outcome is Brought in dead (arrived deceased), and admitted from within facility: Yes or admitted from within facility: No, and referral source is Other Facility or admitted from within facility: No, and referral source is Other Facility, and referred from is Other","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,BirthWeight,Birth Weight (g) / Birth weight (g),$AdmReason != 'DU' | $AdmReason != 'DUM' | $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Abandoned baby
Shown when type of BID case is not Dumpsite (abandoned baby)","Generic PHC Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Parirenyatwa Group of Hospitals Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,CPAP,CPAP in delivery suite?,!($AdmReasonOth = 'DU' or $AdmReason = 'DU'),Shown when NOT (other admission reason is Dumpsite (abandoned baby) or admission reason is Dumpsite (abandoned baby)),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,CordDelay,Delayed cord clamping (greater than 60s)?,!($AdmReasonOth = 'DU' or $AdmReason = 'DU'),Shown when NOT (other admission reason is Dumpsite (abandoned baby) or admission reason is Dumpsite (abandoned baby)),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,DOBTOB,Date and Time of Birth / Date and Time of birth / Date and Time of birth ,$AdmReason != 'DU' | $DOBYN = 'Y',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when date of birth known is Yes","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,DelivInter,Delivery interventions,$AdmReason != 'DU' or $ReferredFrom2 != 'DU' | $AdmReason != 'DUM' or $ReferredFrom2 != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby) or referral source is not Dumpsite (abandoned baby)
Shown when admission reason is not Abandoned baby or referral source is not Dumpsite (abandoned baby)","Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Sally Mugabe CH Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,DiscCovidRisk,Covid-19 Risk,$NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Kasungu District Hospital Neotree Discharge, NeoDischarge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,DurationLab,Duration of Labour (Hours) / Labour duration (Hrs from 4cm to delivering a baby),!$AdmReason = 'BBA' | $ModeDelivery = '1' or $ModeDelivery = '2' or $ModeDelivery = '3' or $ModeDelivery = '5' or $ModeDelivery = '6',"Shown when admission reason is not Born Before Arrival
Shown when mode of delivery is Spontaneous Vaginal Delivery (SVD) or mode of delivery is Vacuum extraction or mode of delivery is Forceps extraction or mode of delivery is Emergency Caesarian Section (EMCS) or mode of delivery is Breech extraction (vaginal)","Generic PHC Admission, Parirenyatwa Group of Hospitals Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,Ethnicity,Ethnicity,$AdmReason != 'DU' | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,FeFo,Iron & Folate / Iron & Folate ,$NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Kasungu District Hospital Neotree Discharge, NeoDischarge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,FoeDist,Was the Foetal Distress,!($AdmReasonOth = 'DU' or $AdmReason = 'DU'),Shown when NOT (other admission reason is Dumpsite (abandoned baby) or admission reason is Dumpsite (abandoned baby)),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,FoeHrtDoc,Have fetal heart recordings been documented?,!($AdmReasonOth = 'DU' or $AdmReason = 'DU'),Shown when NOT (other admission reason is Dumpsite (abandoned baby) or admission reason is Dumpsite (abandoned baby)),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,GSCvsOM,Which abdominal wall defect?,$AdmReason = 'GSchis' or $AdmReason = 'Omph' or $Abdomen = 'Defect' | $AdmReason = 'GSchis' or $AdmReason = 'Omph' or $Abdomen = 'GSchisOmph',"Shown when admission reason is Gastroschisis or admission reason is Exomphalos / Omphalocele or abdominal findings is Abdominal wall defect
Shown when admission reason is Gastroschisis or admission reason is Exomphalos / Omphalocele or abdominal findings is Gastroschisis or Omphalocele","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Sally Mugabe CH Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,Gestation,Gestation at birth (weeks.days),$AdmReason != 'DU',Shown when admission reason is not Dumpsite (abandoned baby),Sally Mugabe CH Discharge
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,Grav,Gravidity (number of pregnancies incl this pregnancy),$AdmReason != 'DU',Shown when admission reason is not Dumpsite (abandoned baby),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,IPT,IPT,$AdmReason != 'DU' | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,I_KMC,Was IKMC completed - at least 90mins continuous skin to skin contact from delivery,!($AdmReasonOth = 'DU' or $AdmReason = 'DU'),Shown when NOT (other admission reason is Dumpsite (abandoned baby) or admission reason is Dumpsite (abandoned baby)),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,InOrOut,Admitted from KCH? / Admitted from PGH? / Admitted from SMCH?,$NeoTreeOutcome = 'BID' | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when patient outcome is Brought in dead (arrived deceased)
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Kasungu District Hospital Neotree Discharge, NeoDischarge, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,LChild,Children still alive,$AdmReason != 'DU',Shown when admission reason is not Dumpsite (abandoned baby),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,MaritalStat,Marital status / Mother's marital status,$AdmReason != 'DU' | $AdmReason != 'DU' or $ReferredFrom2 != 'DU' | $NeoTreeOutcome = 'BID' | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Dumpsite (abandoned baby) or referral source is not Dumpsite (abandoned baby)
Shown when patient outcome is Brought in dead (arrived deceased)
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,MatAdm,Maternal Admission,$AdmReason != 'DU' | $AdmReason != 'DU' or $ReferredFrom2 != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Dumpsite (abandoned baby) or referral source is not Dumpsite (abandoned baby)","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Sally Mugabe CH Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,MatAgeYrs,Age Of Mother (yrs) / Age of Mother (yrs),$AdmReason != 'DU' | $MotherDOBYN = 'N',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when mother's DOB known is No","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Parirenyatwa Group of Hospitals Admission, Sally Mugabe CH Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,MatBldGrpYN,Do you know the Mother's Blood Group?,$AdmReason != 'DU',Shown when admission reason is not Dumpsite (abandoned baby),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,MatHIVtest,Has the mother ever had an PMTCT test? / Has the mother had an HIV test? / Mother had HIV test?,$AdmReason != 'DU' | $AdmReason != 'DU' or $ReferredFrom2 != 'DU' | $NeoTreeOutcome != 'BID' | $NeoTreeOutcome = 'BID' | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Dumpsite (abandoned baby) or referral source is not Dumpsite (abandoned baby)
Shown when patient outcome is not Brought in dead (arrived deceased)
Shown when patient outcome is Brought in dead (arrived deceased)
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Bindura Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,MatHospNum,Mother's Hospital Number,$AdmReason != 'DU',Shown when admission reason is not Dumpsite (abandoned baby),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,MecPresent,Meconium present?,$AdmReason != 'DU' | $NeoTreeOutcome = 'BID' | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when patient outcome is Brought in dead (arrived deceased)
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,MgSO4,Has the mother received Magnesium sulphate (MgSo4),!($AdmReasonOth = 'DU' or $AdmReason = 'DU'),Shown when NOT (other admission reason is Dumpsite (abandoned baby) or admission reason is Dumpsite (abandoned baby)),Parirenyatwa Group of Hospitals Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,ModeDelivery,Mode of Delivery,$AdmReason ! = 'DU' | $DidMotherGaveBirth = 'Y' | $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when mother gave birth at this facility is Yes
Shown when type of BID case is not Dumpsite (abandoned baby)","DHIS2 Mat Outcomes (Retro Data) - Malawi, Kasungu District Hospital Neotree Discharge, Maternal Outcomes (Retrospective Data) - Malawi, NeoDischarge, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,MotherDOBYN,Do you know the mother's date of birth?,$AdmReason != 'DUM',Shown when admission reason is not Abandoned baby,Generic PHC Admission
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,MotherFirstName,Mother's First Name,$AdmReason != 'DU' | $AdmReason != 'DUM',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Abandoned baby","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Sally Mugabe CH Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,MotherSurname,Mother's Surname / Mother's Surname ,$AdmReason != 'DU' | $AdmReason != 'DUM',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Abandoned baby","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Sally Mugabe CH Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,OtherReferralFacility,Name of Facility,$InOrOut = 'Out' and $ReferredFrom2 = 'F' and $ReferredFrom = 'O',"Shown when admitted from within facility is Outside PHC, and referral source is Other Facility, and referred from is Other","Generic PHC Admission, Kasungu District Hospital Neotree Admission, Parirenyatwa Group of Hospitals Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,PAR,Maternal Parity / Parity (number of deliveries >24weeks alive/dead),$AdmReason != 'DU' | $AdmReason != 'DUM',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Abandoned baby","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Parirenyatwa Group of Hospitals Admission, Sally Mugabe CH Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,PlaceBirth,Place of Birth / Place of birth,!($BirthPlaceSame = 'Y' or $AdmReasonOth = 'DU' or $AdmReason = 'DU') | $BirthPlaceSame = 'N' | $BirthPlaceSame = false | $BirthPlaceSame = false or ($InOrOut = false and $ReferredFrom2 = 'H') | $NeoTreeOutcome = 'BID' and ($BirthPlaceSame = false or ($InOrOut = false and $ReferredFrom2 = 'H')),"Shown when NOT (birth place same as current facility is Yes or other admission reason is Dumpsite (abandoned baby) or admission reason is Dumpsite (abandoned baby))
Shown when birth place same as current facility is No
Shown when birth place same as current facility: No
Shown when birth place same as current facility: No or admitted from within facility: No, and referral source is Home
Shown when patient outcome is Brought in dead (arrived deceased), and birth place same as current facility: No or admitted from within facility: No, and referral source is Home","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,PregConditions,Medical conditions in pregnancy,$AdmReason != 'DU' | $AdmReason != 'DU' or $ReferredFrom2 != 'DU' | $NeoTreeOutcome = 'BID' | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Dumpsite (abandoned baby) or referral source is not Dumpsite (abandoned baby)
Shown when patient outcome is Brought in dead (arrived deceased)
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,PresComOth,What other presenting complaint?,$AdmReason = 'OTH' | $PresCom = 'O',"Shown when admission reason is Other
Shown when presentation complications is Other","Bindura Hospital Discharge, Chinhoyi Provincial Hospital Discharge, Parirenyatwa Group of Hospitals Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,Presentation,Presentation,$TypeBID != 'DU',Shown when type of BID case is not Dumpsite (abandoned baby),"Kasungu District Hospital Neotree Discharge, NeoDischarge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,ProbsLab,Problems in Labour / Problems in Labour ,$AdmReason != 'DU' | $AdmReason != 'DU' or $ReferredFrom2 != 'DU' | $AdmReason != 'DUM' | $NeoTreeOutcome = 'BID' | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Dumpsite (abandoned baby) or referral source is not Dumpsite (abandoned baby)
Shown when admission reason is not Abandoned baby
Shown when patient outcome is Brought in dead (arrived deceased)
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
